ROIid;ROIabbr;ROIname;ROIbaseid;ROIbasename;Voxel;Volume;XYZ
32;IFG_R_6_2;IFG_R_6_2;[ 32 ];IFG_R_6_2;759;2.56;48,35,13
33;IFG_L_6_3;IFG_L_6_3;[ 33 ];IFG_L_6_3;696;2.35;-53,23,11
34;IFG_R_6_3;IFG_R_6_3;[ 34 ];IFG_R_6_3;865;2.92;54,24,12
35;IFG_L_6_4;IFG_L_6_4;[ 35 ];IFG_L_6_4;909;3.07;-49,36,-3
36;IFG_R_6_4;IFG_R_6_4;[ 36 ];IFG_R_6_4;952;3.21;51,36,-1
37;IFG_L_6_5;IFG_L_6_5;[ 37 ];IFG_L_6_5;1147;3.87;-39,23,4
38;IFG_R_6_5;IFG_R_6_5;[ 38 ];IFG_R_6_5;1343;4.53;42,22,3
39;IFG_L_6_6;IFG_L_6_6;[ 39 ];IFG_L_6_6;679;2.29;-52,13,6
40;IFG_R_6_6;IFG_R_6_6;[ 40 ];IFG_R_6_6;682;2.30;54,14,11
41;OrG_L_6_1;OrG_L_6_1;[ 41 ];OrG_L_6_1;1211;4.09;-7,54,-7
42;OrG_R_6_1;OrG_R_6_1;[ 42 ];OrG_R_6_1;1558;5.26;6,47,-7
43;OrG_L_6_2;OrG_L_6_2;[ 43 ];OrG_L_6_2;1177;3.97;-36,33,-16
44;OrG_R_6_2;OrG_R_6_2;[ 44 ];OrG_R_6_2;1149;3.88;40,39,-14
45;OrG_L_6_3;OrG_L_6_3;[ 45 ];OrG_L_6_3;2274;7.67;-23,38,-18
46;OrG_R_6_3;OrG_R_6_3;[ 46 ];OrG_R_6_3;2819;9.51;23,36,-18
47;OrG_L_6_4;OrG_L_6_4;[ 47 ];OrG_L_6_4;1440;4.86;-6,52,-19
48;OrG_R_6_4;OrG_R_6_4;[ 48 ];OrG_R_6_4;1749;5.90;6,57,-16
49;OrG_L_6_5;OrG_L_6_5;[ 49 ];OrG_L_6_5;2179;7.35;-10,18,-19
50;OrG_R_6_5;OrG_R_6_5;[ 50 ];OrG_R_6_5;1827;6.17;9,20,-19
51;OrG_L_6_6;OrG_L_6_6;[ 51 ];OrG_L_6_6;1414;4.77;-41,32,-9
52;OrG_R_6_6;OrG_R_6_6;[ 52 ];OrG_R_6_6;1193;4.03;42,31,-9
53;PrG_L_6_1;PrG_L_6_1;[ 53 ];PrG_L_6_1;2119;7.15;-49,-8,39
54;PrG_R_6_1;PrG_R_6_1;[ 54 ];PrG_R_6_1;1287;4.34;55,-2,33
55;PrG_L_6_2;PrG_L_6_2;[ 55 ];PrG_L_6_2;1667;5.63;-32,-9,58
56;PrG_R_6_2;PrG_R_6_2;[ 56 ];PrG_R_6_2;2088;7.05;33,-7,57
57;PrG_L_6_3;PrG_L_6_3;[ 57 ];PrG_L_6_3;1450;4.89;-26,-25,63
58;PrG_R_6_3;PrG_R_6_3;[ 58 ];PrG_R_6_3;1468;4.95;34,-19,59
59;PrG_L_6_4;PrG_L_6_4;[ 59 ];PrG_L_6_4;676;2.28;-13,-20,73
60;PrG_R_6_4;PrG_R_6_4;[ 60 ];PrG_R_6_4;1060;3.58;15,-22,71
61;PrG_L_6_5;PrG_L_6_5;[ 61 ];PrG_L_6_5;1049;3.54;-52,0,8
62;PrG_R_6_5;PrG_R_6_5;[ 62 ];PrG_R_6_5;979;3.30;54,4,9
63;PrG_L_6_6;PrG_L_6_6;[ 63 ];PrG_L_6_6;1751;5.91;-49,5,30
64;PrG_R_6_6;PrG_R_6_6;[ 64 ];PrG_R_6_6;1591;5.37;51,7,30
